,genre,artist_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,liveness_binary,danceability_binary,Major,Minor,A,A#,B,C,C#,D,D#,E,F,F#,G,G#
41,15,2013,29241,1,0.902,0.489,128871,0.26,0.000683,0.0944,-11.876,0.0884,93.186,1,0.371,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,15,5199,30833,3,0.967,0.55,28027,0.0148,0.0608,0.0793,-22.731,0.0492,74.756,1,0.5920000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,15,4064,34874,0,0.983,0.341,136253,0.156,0.0418,0.232,-14.696,0.0312,84.488,1,0.336,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
231,15,1893,79404,0,0.994,0.485,105253,0.124,0.0,0.107,-15.088,0.041,118.422,1,0.441,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
236,15,4653,85614,0,0.616,0.6859999999999999,91301,0.221,0.0,0.14300000000000002,-17.351,0.87,130.553,1,0.58,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
255,15,6469,98868,0,0.856,0.574,179470,0.467,1.14e-05,0.969,-10.034,0.541,132.107,1,0.897,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
256,15,2722,98926,0,0.976,0.412,144253,0.145,0.0,0.106,-9.367,0.0401,78.925,1,0.34700000000000003,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
324,15,1877,43389,12,0.301,0.6,202493,0.464,7.58e-06,0.188,-6.021,0.0662,108.148,1,0.498,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
416,0,6269,105143,23,0.83,0.628,144867,0.299,0.0,0.31,-9.483,0.0473,135.89600000000002,1,0.557,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
423,0,3729,55768,16,0.8220000000000001,0.381,222827,0.264,0.0,0.0978,-11.138,0.035,122.419,1,0.439,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
443,0,10232,34165,10,0.984,0.234,169849,0.094,3.47e-05,0.0858,-17.570999999999998,0.031,140.817,1,0.107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
479,0,10013,83501,9,0.948,0.398,183387,0.185,0.0,0.119,-15.172,0.0636,82.055,1,0.383,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
481,0,10314,3379,1,0.8690000000000001,0.28300000000000003,211000,0.447,0.0,0.13699999999999998,-6.2170000000000005,0.0351,130.481,1,0.466,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
506,1,4779,48106,73,0.81,0.471,211227,0.411,0.0,0.135,-9.5,0.295,89.484,1,0.363,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
804,8,1590,46858,44,0.123,0.6729999999999999,211612,0.498,0.0461,0.0543,-9.491,0.0252,88.912,1,0.8690000000000001,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1004,1,5002,57356,60,0.964,0.5770000000000001,126312,0.387,0.706,0.208,-8.607000000000001,0.274,146.565,1,0.459,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1106,1,384,58894,60,0.0235,0.159,149467,0.946,8.06e-06,0.387,-5.756,0.0629,164.997,1,0.309,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1551,8,2405,76661,41,0.476,0.469,199413,0.361,0.0,0.101,-11.257,0.035,74.524,1,0.146,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1744,8,11021,12010,41,0.234,0.624,162907,0.41,0.0688,0.134,-12.515,0.0275,87.491,1,0.583,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
